time	V(vgate)	V(n005)	I(D1)
6.773879644630495e-006	3.299063e+000	3.300000e+000	4.105013e-001
6.783645269630494e-006	3.299160e+000	3.300000e+000	4.105564e-001
6.793410894630494e-006	3.299247e+000	3.300000e+000	4.106070e-001
6.803176519630494e-006	3.299325e+000	3.300000e+000	4.106536e-001
6.812942144630493e-006	3.299395e+000	3.300000e+000	4.106965e-001
6.822707769630493e-006	3.299457e+000	3.300000e+000	4.107360e-001
6.832473394630492e-006	3.299513e+000	3.300000e+000	4.107724e-001
6.842239019630492e-006	3.299564e+000	3.300000e+000	4.108058e-001
6.852004644630492e-006	3.299609e+000	3.300000e+000	4.108366e-001
6.861770269630491e-006	3.299649e+000	3.300000e+000	4.108649e-001
6.871535894630491e-006	3.299686e+000	3.300000e+000	4.108910e-001
6.881301519630490e-006	3.299718e+000	3.300000e+000	4.109150e-001
6.891067144630490e-006	3.299747e+000	3.300000e+000	4.109371e-001
6.900832769630490e-006	3.299774e+000	3.300000e+000	4.109574e-001
6.910598394630489e-006	3.299797e+000	3.300000e+000	4.109761e-001
6.920364019630489e-006	3.299818e+000	3.300000e+000	4.109933e-001
6.930129644630488e-006	3.299837e+000	3.300000e+000	4.110092e-001
6.939895269630488e-006	3.299854e+000	3.300000e+000	4.110238e-001
6.949660894630488e-006	3.299869e+000	3.300000e+000	4.110372e-001
6.959426519630487e-006	3.299883e+000	3.300000e+000	4.110495e-001
6.969192144630487e-006	3.299895e+000	3.300000e+000	4.110609e-001
6.978957769630487e-006	3.299906e+000	3.300000e+000	4.110714e-001
6.988723394630486e-006	3.299916e+000	3.300000e+000	4.110810e-001
6.998489019630486e-006	3.299924e+000	3.300000e+000	4.110899e-001
7.008254644630485e-006	3.299932e+000	3.300000e+000	4.110980e-001
7.018020269630485e-006	3.299939e+000	3.300000e+000	4.111055e-001
7.027785894630485e-006	3.299946e+000	3.300000e+000	4.111125e-001
7.037551519630484e-006	3.299951e+000	3.300000e+000	4.111188e-001
7.047317144630484e-006	3.299956e+000	3.300000e+000	4.111247e-001
7.057082769630483e-006	3.299961e+000	3.300000e+000	4.111301e-001
7.066848394630483e-006	3.299965e+000	3.300000e+000	4.111350e-001
7.076614019630483e-006	3.299969e+000	3.300000e+000	4.111396e-001
7.086379644630482e-006	3.299972e+000	3.300000e+000	4.111438e-001
